Layer_0,Layer_1,Layer_2,Layer_3,Layer_4
0.0,2.2121658,0.0,2.2040384,4.1496506e-07
0.0,0.19758005,0.06114463,-6.5318418,6.6690986e-11
0.0,0.0,3.063861,3.6872196,1.8287269e-06
0.0,2.6530807,2.9377396,16.899048,0.9999378
0.0,0.4341773,1.7854518,-18.646572,3.6534768e-16
0.0,0.0,0.0,3.8853223,2.229379e-06
0.0,0.0,1.6139951,-14.953261,1.4678796e-14
0.0,0.023861708,14.153709,-0.72849387,2.2101846e-08
0.0,1.052699,2.6055896,-1.6116807,9.138304e-09
0.0,0.0,1.0053511,7.137698,5.763319e-05
0.0,0.0,0.0,,
0.0,0.0,4.330242,,
0.0,0.41071475,0.0,,
0.0,0.22130004,0.9621971,,
0.0,0.0,2.1049855,,
0.0,1.2800927,0.0,,
0.0,0.0,4.172265,,
0.0,0.0,0.0,,
0.0,0.21754621,1.2041783,,
0.0,0.0,8.227242,,
0.0,0.0,8.178074,,
0.0,1.3262753,8.424347,,
0.0,0.0,2.4109015,,
0.0,0.0,0.153613,,
0.0,0.0,2.5527635,,
0.0,0.0,0.5795149,,
0.0,1.1942586,0.5928644,,
0.0,0.78537345,2.4711454,,
0.0,0.0,4.85492,,
0.0,0.0,0.0,,
0.0,0.11744228,11.555583,,
0.0,0.3831509,1.568844,,
0.0,0.0,0.7936201,,
0.0,0.30826277,1.9190228,,
0.0,1.1550105,0.14720225,,
0.0,1.2071439,3.1303508,,
0.0,0.0,1.1450062,,
0.0,0.0,7.1259675,,
0.0,3.6395729,2.523414,,
0.0,0.6101998,4.77533,,
0.0,0.0,4.3707843,,
0.0,0.0,7.598804,,
0.0,1.2959106,6.8096776,,
0.0,0.0,5.534323,,
0.0,0.0,2.4018593,,
0.0,0.0,3.8346872,,
0.0,0.0,4.339057,,
0.0,0.0,8.239507,,
0.0,0.57533085,1.9639459,,
0.0,1.4138223,1.083653,,
0.0,0.0,,,
0.0,1.6164811,,,
0.0,0.5777729,,,
0.0,0.81402224,,,
0.0,0.0,,,
0.0,0.0,,,
0.0,0.7634475,,,
0.0,0.6588198,,,
0.0,0.22253,,,
0.0,0.0,,,
0.0,0.682023,,,
0.0,0.0,,,
0.0,0.0,,,
0.0,0.9531294,,,
0.0,0.20871618,,,
0.0,1.6963043,,,
0.0,0.0,,,
0.0,0.0,,,
0.0,2.7199037,,,
0.0,1.9893556,,,
0.0,1.6121681,,,
0.0,0.09472984,,,
0.0,0.0,,,
0.0,0.0,,,
0.0,0.6824281,,,
0.0,1.3933972,,,
0.0,0.0,,,
0.0,0.0,,,
0.0,0.33551675,,,
0.0,0.7815744,,,
0.0,0.0,,,
0.0,0.5981388,,,
0.0,0.0,,,
0.0,0.0,,,
0.0,0.0,,,
0.0,0.015920158,,,
0.0,0.99974686,,,
0.0,0.35317028,,,
0.0,1.4804521,,,
0.0,1.5028292,,,
0.0,1.3734297,,,
0.0,0.0,,,
0.0,1.3033403,,,
0.0,2.00444,,,
0.0,0.0,,,
0.0,1.4237478,,,
0.0,0.50963646,,,
0.0,0.0,,,
0.0,1.7613735,,,
0.0,0.2090052,,,
0.0,0.0,,,
0.0,0.05209317,,,
0.0,2.825459,,,
0.0,0.0,,,
0.0,0.0,,,
0.0,0.009986641,,,
0.0,0.0,,,
0.0,0.5244784,,,
0.0,1.4126503,,,
0.0,0.19556876,,,
0.0,1.2875674,,,
0.0,1.7656964,,,
0.0,0.98786944,,,
0.0,0.04471179,,,
0.0,0.89867604,,,
0.0,0.0,,,
0.0,0.0,,,
0.0,0.0,,,
0.0,0.09756799,,,
0.0,0.0,,,
0.0,0.11439106,,,
0.0,0.619928,,,
0.0,0.20856068,,,
0.0,0.0,,,
0.0,0.0,,,
0.0,1.3820063,,,
0.0,2.7693498,,,
0.0,0.33395812,,,
0.0,0.0,,,
0.0,0.0,,,
0.0,0.527138,,,
0.0,0.0,,,
0.0,0.0,,,
0.0,0.07001707,,,
0.0,0.14871266,,,
0.0,0.0,,,
0.0,0.73030597,,,
0.0,0.12920439,,,
0.0,0.0,,,
0.0,0.8438049,,,
0.0,0.0,,,
0.0,1.8614701,,,
0.0,0.0,,,
0.0,0.9715373,,,
0.0,0.0,,,
0.0,0.0,,,
0.0,0.19294633,,,
0.0,1.3429625,,,
0.0,1.3040645,,,
0.0,1.2835989,,,
